,name,sentiment,node,degree,degree centrality,betweenness centrality,closeness centrality
0,negative_all.gml,negative,religious exemption,1,0.000640204865557,0.0,0.0
1,negative_all.gml,negative,adverse effects,15,0.00960307298335,3.77314847093e-05,0.0089628681178
2,negative_all.gml,negative,flu shot campaign,1,0.000640204865557,0.0,0.00146332540699
3,negative_all.gml,negative,toxic adjuvants,2,0.00128040973111,0.0,0.0
4,negative_all.gml,negative,government health agencies,1,0.000640204865557,0.0,0.001152368758
5,negative_all.gml,negative,controversial,1,0.000640204865557,0.0,0.0
6,negative_all.gml,negative,swine-flu-related drugs,1,0.000640204865557,0.0,0.0
7,negative_all.gml,negative,safe level of exposure,1,0.000640204865557,0.0,0.0
8,negative_all.gml,negative,heightened emotion,2,0.00128040973111,0.000132060196483,0.000640204865557
9,negative_all.gml,negative,Dr. Paul Offit,16,0.0102432778489,0.0,0.00942847165638
10,negative_all.gml,negative,tremors,1,0.000640204865557,0.0,0.0
11,negative_all.gml,negative,disability,3,0.00192061459667,0.0,0.0626574801938
12,negative_all.gml,negative,proper protocol,1,0.000640204865557,0.0,0.0
13,negative_all.gml,negative,flu shot while pregnant,1,0.000640204865557,0.0,0.000640204865557
14,negative_all.gml,negative,genetic tests,2,0.00128040973111,0.0,0.00128040973111
15,negative_all.gml,negative,partial facial paralysis,1,0.000640204865557,0.0,0.0
16,negative_all.gml,negative,Merck's RotaTeq vaccine,2,0.00128040973111,0.0,0.0
17,negative_all.gml,negative,safe form of mercury,2,0.00128040973111,0.000132060196483,0.000640204865557
18,negative_all.gml,negative,financial compensation,7,0.0044814340589,0.00160878301471,0.0543049811897
19,negative_all.gml,negative,legislators,2,0.00128040973111,8.20249667594e-07,0.000960307298335
20,negative_all.gml,negative,risk,1,0.000640204865557,0.0,0.0
21,negative_all.gml,negative,compassion,1,0.000640204865557,0.0,0.0
22,negative_all.gml,negative,vaccine additives,9,0.00576184379001,0.00327404116934,0.0800533352315
23,negative_all.gml,negative,Hilleman,2,0.00128040973111,0.0,0.0521616258069
24,negative_all.gml,negative,medical industry,1,0.000640204865557,0.0,0.0585076699467
25,negative_all.gml,negative,medical ethics,1,0.000640204865557,0.0,0.0
26,negative_all.gml,negative,financial conlicts of interest,1,0.000640204865557,0.0,0.0
27,negative_all.gml,negative,school,1,0.000640204865557,0.0,0.0
28,negative_all.gml,negative,irritable bowels,1,0.000640204865557,0.0,0.0
29,negative_all.gml,negative,sicker children,1,0.000640204865557,0.0,0.0
30,negative_all.gml,negative,vaccine program,1,0.000640204865557,0.0,0.0
31,negative_all.gml,negative,Renee Gentry,2,0.00128040973111,0.0,0.0608148306408
32,negative_all.gml,negative,convenience,1,0.000640204865557,0.0,0.0
33,negative_all.gml,negative,vaccine damage,12,0.00768245838668,0.0268238403557,0.103590555921
34,negative_all.gml,negative,first measles vaccine,1,0.000640204865557,0.0,0.000853606487409
35,negative_all.gml,negative,neural damage,2,0.00128040973111,0.000132060196483,0.000640204865557
36,negative_all.gml,negative,protection,2,0.00128040973111,0.000313034614809,0.0569129180161
37,negative_all.gml,negative,sinister revenue model,1,0.000640204865557,0.0,0.0
38,negative_all.gml,negative,members of the herd,1,0.000640204865557,0.0,0.0
39,negative_all.gml,negative,traditional medicine,1,0.000640204865557,0.0,0.0628114444549
40,negative_all.gml,negative,autism rates,3,0.00192061459667,8.20249667594e-07,0.00128040973111
41,negative_all.gml,negative,stay awake during the school day,1,0.000640204865557,0.0,0.0
42,negative_all.gml,negative,oxymoron,1,0.000640204865557,0.0,0.0
43,negative_all.gml,negative,mutagen,1,0.000640204865557,0.0,0.0
44,negative_all.gml,negative,seasonal influenza vaccine,1,0.000640204865557,0.0,0.000640204865557
45,negative_all.gml,negative,pro-vax people,1,0.000640204865557,0.0,0.000640204865557
46,negative_all.gml,negative,changes,1,0.000640204865557,0.0,0.0
47,negative_all.gml,negative,punishment,1,0.000640204865557,0.0,0.0
48,negative_all.gml,negative,Government Accounting Office,1,0.000640204865557,0.0,0.000640204865557
49,negative_all.gml,negative,hepatitis B vaccines,1,0.000640204865557,0.0,0.000640204865557
50,negative_all.gml,negative,pharma-controlled lamestream media,1,0.000640204865557,0.0,0.062260604927
51,negative_all.gml,negative,house of cards,1,0.000640204865557,0.0,0.0
52,negative_all.gml,negative,hospital,1,0.000640204865557,0.0,0.000853606487409
